ticker,sport,team,opponent,map_index,event_time,actual,last_fetched_at,yes_bid,yes_ask,our_p,graded_at
KXDOTA2MAP-26SEP260600XTREMEGL-1-GL,dota,GamerLegion,Xtreme Gaming,1,2026-09-26T06:00:00+00:00,0,2026-09-26T07:34:10+00:00,,0.06,0.46797607504960853,2026-09-26T10:06:46+00:00
KXDOTA2MAP-26SEP260600XTREMEGL-1-XTREME,dota,Xtreme Gaming,GamerLegion,1,2026-09-26T06:00:00+00:00,1,2026-09-26T07:34:10+00:00,0.94,0.98,0.5157016443630751,2026-09-26T10:06:46+00:00
KXDOTA2MAP-26SEP260600XTREMEGL-2-GL,dota,GamerLegion,Xtreme Gaming,2,2026-09-26T06:00:00+00:00,0,2026-09-26T07:34:10+00:00,0.35,0.42,0.46797607504960853,2026-09-26T10:06:46+00:00
KXDOTA2MAP-26SEP260600XTREMEGL-2-XTREME,dota,Xtreme Gaming,GamerLegion,2,2026-09-26T06:00:00+00:00,1,2026-09-26T07:34:10+00:00,0.58,0.64,0.5157016443630751,2026-09-26T10:06:46+00:00
