book,projection_id,sport,league,player_id,player_name,team,opponent,position,game_id,stat_type,stat,map_from,map_to,combo,combo_players,voidable,board_time,start_time,open_line,open_seen_at,current_line,current_odds_type,last_seen_at,status,odds_over,odds_under
prizepicks,15195114,lol,LoL,40689,Kryze,SLY,Saigon Warriors,TOP,SLYSaigon Warriors46290.3333333333,MAP 1 Kills,kills,1,1,0,,0,2026-09-24T08:00:00.000-04:00,2026-09-25T08:00:00.000-04:00,3.5,2026-09-25T05:34:18+00:00,3.5,standard,2026-09-25T05:34:18+00:00,pre_game,,
prizepicks,15195115,lol,LoL,295245,Zicssi,SLY,Saigon Warriors,JNG,SLYSaigon Warriors46290.3333333333,MAP 1 Kills,kills,1,1,0,,0,2026-09-24T08:00:00.000-04:00,2026-09-25T08:00:00.000-04:00,5.5,2026-09-25T05:34:18+00:00,5.5,standard,2026-09-25T05:34:18+00:00,pre_game,,
prizepicks,15195116,lol,LoL,295246,Jool,SLY,Saigon Warriors,MID,SLYSaigon Warriors46290.3333333333,MAP 1 Kills,kills,1,1,0,,0,2026-09-24T08:00:00.000-04:00,2026-09-25T08:00:00.000-04:00,5.5,2026-09-25T05:34:18+00:00,5.5,standard,2026-09-25T05:34:18+00:00,pre_game,,
prizepicks,15195117,lol,LoL,285858,Aetinoth,SLY,Saigon Warriors,BOT,SLYSaigon Warriors46290.3333333333,MAP 1 Kills,kills,1,1,0,,0,2026-09-24T08:00:00.000-04:00,2026-09-25T08:00:00.000-04:00,5.5,2026-09-25T05:34:18+00:00,5.5,standard,2026-09-25T05:34:18+00:00,pre_game,,
prizepicks,15195118,lol,LoL,295244,Carlsen,GL,ZSK,TOP,ZSKGL46290.375,MAP 1 Kills,kills,1,1,0,,0,2026-09-24T09:00:00.000-04:00,2026-09-25T09:00:00.000-04:00,4.5,2026-09-25T05:34:18+00:00,4.5,standard,2026-09-25T05:34:18+00:00,pre_game,,
prizepicks,15195119,lol,LoL,285841,Thayger,GL,ZSK,JNG,ZSKGL46290.375,MAP 1 Kills,kills,1,1,0,,0,2026-09-24T09:00:00.000-04:00,2026-09-25T09:00:00.000-04:00,4.5,2026-09-25T05:34:18+00:00,4.5,standard,2026-09-25T05:34:18+00:00,pre_game,,
prizepicks,15195120,lol,LoL,285840,OMON,GL,ZSK,MID,ZSKGL46290.375,MAP 1 Kills,kills,1,1,0,,0,2026-09-24T09:00:00.000-04:00,2026-09-25T09:00:00.000-04:00,5.5,2026-09-25T05:34:18+00:00,5.5,standard,2026-09-25T05:34:18+00:00,pre_game,,
prizepicks,15195121,lol,LoL,248718,Harpoon,GL,ZSK,BOT,ZSKGL46290.375,MAP 1 Kills,kills,1,1,0,,0,2026-09-24T09:00:00.000-04:00,2026-09-25T09:00:00.000-04:00,6.5,2026-09-25T05:34:18+00:00,6.5,standard,2026-09-25T05:34:18+00:00,pre_game,,
prizepicks,15198016,lol,LoL,296144,GaKGoS + Gryffinn + Quad,FLY,SR,TOP/JNG/MID,SRFLY46290.7916666667,MAPS 1-3 Kills (Combo),kills,1,3,1,"[""GaKGoS"", ""Gryffinn"", ""Quad""]",1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,32.5,2026-09-25T05:34:18+00:00,33.5,standard,2026-09-25T19:56:06+00:00,pre_game,,
prizepicks,15198017,lol,LoL,200290,Quad + Massu,FLY,SR,MID/BOT,SRFLY46290.7916666667,MAPS 1-3 Kills (Combo),kills,1,3,1,"[""Quad"", ""Massu""]",1,2026-09-22T16:00:00.000-04:00,2026-09-25T16:00:00.000-04:00,27.5,2026-09-25T05:34:18+00:00,28.5,standard,2026-09-25T19:56:06+00:00,pre_game,,
