book,projection_id,used_at
prizepicks,15232610,2026-09-26T00:17:23+00:00
prizepicks,15234206,2026-09-26T00:17:23+00:00
prizepicks,15234792,2026-09-26T00:17:23+00:00
prizepicks,14893672,2026-09-26T00:17:23+00:00
